participant_id	group	sex	age	ethnicity	years_education	eng_proficiency_score	sp_proficiency_score	num_lang	aoasub-2975	MC	F	21	1	14	10	5	3	n/asub-3156	LB	M	22	1	14	10	n/a	4	18sub-3225	LB	M	25	1	18	10	8	2	19sub-3788	MC	F	21	1	16	10	n/a	n/a	n/asub-3789	MC	M	25	1	14	10	10	n/a	n/asub-3802	MC	F	19	1	14	10	n/a	2	n/asub-3815	MC	M	21	1	14	10	n/a	n/a	n/asub-3861	MC	M	23	1	14	10	6	2	n/asub-3876	LB	M	22	1	14	10	5	2	17
sub-3877	LB	F	21	1	14	9	7	2	19
sub-3878	LB	F	20	2	14	10	10	2	15
sub-3879	MC	F	21	1	14	10	5	2	n/a
sub-3880	MC	F	18	1	14	10	6	2	n/a
sub-3881	LB	M	21	1	14	n/a	n/a	2	15
sub-3882	MC	F	20	1	14	10	n/a	2	n/a
sub-3883	EB	F	25	3	14	10	10	2	8
sub-3884	MC	M	21	1	14	10	5	2	n/a
sub-3885	LB	M	23	1	14	10	8	2	19
sub-3887	MC	F	21	1	14	n/a	n/a	2	n/a
sub-3889	LB	M	20	1	14	n/a	n/a	2	15
sub-3890	MC	F	18	1	14	n/a	n/a	2	n/a
sub-3891	EB	F	26	2	16	10	10	2	8
sub-3892	LB	F	21	1	14	10	9	2	19
sub-3893	LB	M	25	1	14	n/a	n/a	2	15
sub-3894	LB	M	21	1	14	n/a	7	2	16
sub-3895	LB	F	28	1	16	10	8	2	21
sub-3896	LB	M	21	1	14	10	9	2	14
sub-3898	MC	F	18	1	14	10	6	2	n/a
sub-3899	MC	M	23	1	14	10	6	2	n/a
sub-3900	LB	M	21	1	14	n/a	9	2	18
sub-3901	LB	M	20	1	14	10	8	2	18
sub-3903	EB	F	19	2	14	9	8	2	0
sub-3906	LB	M	21	1	14	10	8	2	14
sub-3907	EB	F	19	3	14	10	9	2	0
sub-3908	LB	F	21	1	14	10	9	2	14
sub-3909	LB	M	20	1	14	10	9	2	14
sub-3910	MC	F	22	1	14	10	5	2	n/a
sub-3911	LB	M	20	1	14	10	9	2	13
sub-3912	EB	M	23	2	14	10	9	3	18
sub-3913	LB	F	24	1	14	10	8	2	6
sub-3914	MC	F	26	1	16	n/a	n/a	2	n/a
sub-3915	MC	F	20	1	14	9	n/a	1	n/a
sub-3916	MC	M	19	1	14	n/a	n/a	2	n/a
sub-3917	LB	F	21	1	14	9	8	2	15
sub-3918	MC	M	20	1	14	10	2	1	n/a
sub-3919	LB	M	21	1	16	n/a	8	2	n/a
sub-3920	MC	F	20	1	14	10	3	2	n/a
sub-3921	LB	M	22	1	14	10	9	2	14
sub-3922	MC	M	19	1	14	10	n/a	1	n/a
sub-3923	MC	M	20	1	14	n/a	n/a	2	n/a
sub-3924	LB	F	22	1	14	n/a	n/a	2	14
sub-3925	MC	F	18	1	14	10	6	2	n/a
sub-3926	MC	F	21	1	14	10	n/a	1	n/a
sub-3927	MC	M	20	1	14	10	5	3	n/a
sub-3929	EB	F	18	2	14	10	8	3	17
sub-3930	EB	F	20	2	14	10	9	3	0
sub-3931	MC	F	18	1	14	10	n/a	1	n/a
sub-3932	LB	F	21	1	14	10	9	2	n/a
sub-3935	LB	F	20	1	14	n/a	n/a	2	19
sub-3936	EB	F	26	2	16	9	10	3	14
sub-3937	EB	F	25	2	18	10	n/a	2	5
sub-3939	MC	M	24	1	14	n/a	n/a	1	n/a
sub-3940	EB	F	19	1	14	n/a	n/a	2	6
sub-3941	EB	F	25	2	14	9	9	5	0
sub-3942	LB	F	22	1	14	10	9	3	15
sub-3943	EB	F	19	2	16	n/a	n/a	2	0
sub-3944	EB	F	21	2	14	n/a	7	3	6
sub-3945	MC	F	19	1	14	n/a	n/a	2	n/a
sub-3946	EB	M	21	3	14	10	9	3	0
sub-3947	EB	F	21	3	14	9	8	2	0
sub-3948	EB	M	22	2	14	10	8	2	n/a
sub-3949	EB	M	28	1	18	10	9	2	8
sub-3950	MC	F	22	1	14	8	n/a	1	n/a
sub-3952	EB	F	25	2	14	10	10	2	16
sub-3953	EB	F	22	2	14	10	10	2	5
sub-3954	MC	M	21	1	14	10	n/a	1	n/a
sub-3955	EB	F	21	3	14	10	10	3	0
sub-3956	EB	M	22	3	14	10	10	4	0
sub-3957	LB	F	24	1	18	10	8	2	19
sub-3962	EB	M	22	2	14	n/a	8	3	6
sub-3963	EB	F	28	2	16	10	9	4	3
sub-3965	MC	M	25	1	14	10	5	2	n/a
sub-3966	EB	F	21	2	14	10	10	5	7
sub-3967	EB	M	29	2	14	10	9	3	4
sub-3968	EB	M	24	2	14	9	10	3	5
sub-3969	EB	M	19	2	14	10	9	6	0
sub-4015	LB	M	24	1	14	10	8	2	13
sub-4105	MC	F	18	1	14	10	n/a	n/a	n/a
sub-4120	MC	M	21	1	14	10	n/a	2	n/a
sub-4127	LB	M	25	1	18	10	8	2	19
sub-4128	LB	F	24	1	14	10	7	2	20
sub-4129	LB	F	21	1	14	n/a	n/a	2	19
