participant_id	age	sex	hand	weight	height
sub-1	n/a	n/a	n/a	n/a	n/a
sub-10	n/a	n/a	n/a	n/a	n/a
sub-11	n/a	n/a	n/a	n/a	n/a
sub-12	n/a	n/a	n/a	n/a	n/a
sub-13	n/a	n/a	n/a	n/a	n/a
sub-14	n/a	n/a	n/a	n/a	n/a
sub-15	n/a	n/a	n/a	n/a	n/a
sub-16	n/a	n/a	n/a	n/a	n/a
sub-17	n/a	n/a	n/a	n/a	n/a
sub-18	n/a	n/a	n/a	n/a	n/a
sub-19	n/a	n/a	n/a	n/a	n/a
sub-2	n/a	n/a	n/a	n/a	n/a
sub-20	n/a	n/a	n/a	n/a	n/a
sub-21	n/a	n/a	n/a	n/a	n/a
sub-22	n/a	n/a	n/a	n/a	n/a
sub-23	n/a	n/a	n/a	n/a	n/a
sub-24	n/a	n/a	n/a	n/a	n/a
sub-25	n/a	n/a	n/a	n/a	n/a
sub-26	n/a	n/a	n/a	n/a	n/a
sub-27	n/a	n/a	n/a	n/a	n/a
sub-28	n/a	n/a	n/a	n/a	n/a
sub-29	n/a	n/a	n/a	n/a	n/a
sub-3	n/a	n/a	n/a	n/a	n/a
sub-30	n/a	n/a	n/a	n/a	n/a
sub-4	n/a	n/a	n/a	n/a	n/a
sub-5	n/a	n/a	n/a	n/a	n/a
sub-6	n/a	n/a	n/a	n/a	n/a
sub-7	n/a	n/a	n/a	n/a	n/a
sub-8	n/a	n/a	n/a	n/a	n/a
sub-9	n/a	n/a	n/a	n/a	n/a
